x,y,z,nx,ny,nz,vn,vnx,vny,vnz
-0.20000001788139343,-0.16991658508777618,0.014043164439499378,-1.0,0.0,0.0,-0.4001148045063019,0.4001148045063019,-0.0,-0.0
-0.20000001788139343,-0.16647842526435852,0.02797984890639782,-1.0,0.0,-0.0,-0.39998576045036316,0.39998576045036316,-0.0,0.0
-0.20000001788139343,-0.15148863196372986,0.032168153673410416,-1.0,0.0,-0.0,-0.4000336229801178,0.4000336229801178,-0.0,0.0
-0.20000001788139343,-0.14267095923423767,0.030751055106520653,-1.0,0.0,-0.0,-0.4000428318977356,0.4000428318977356,-0.0,0.0
-0.20000001788139343,-0.14177653193473816,0.021413369104266167,-1.0,0.0,0.0,-0.4000321924686432,0.4000321924686432,-0.0,-0.0
-0.20000001788139343,-0.13386879861354828,0.026947854086756706,-1.0,0.0,0.0,-0.39994901418685913,0.39994901418685913,-0.0,-0.0
-0.20000001788139343,-0.12633757293224335,0.02040746994316578,-1.0,0.0,0.0,-0.40004703402519226,0.40004703402519226,-0.0,-0.0
-0.20000001788139343,-0.11746758222579956,0.017871541902422905,-1.0,-0.0,0.0,-0.40025773644447327,0.40025773644447327,0.0,-0.0
-0.20000000298023224,-0.19917353987693787,0.0017911111935973167,-1.0,0.0,0.0,-0.3986002504825592,0.3986002504825592,-0.0,-0.0
-0.20000000298023224,-0.19852355122566223,0.007133840583264828,-1.0,0.0,0.0,-0.39536717534065247,0.39536717534065247,-0.0,-0.0
-0.20000000298023224,-0.1976584941148758,0.001735808327794075,-1.0,-0.0,0.0,-0.39899975061416626,0.39899975061416626,0.0,-0.0
-0.20000000298023224,-0.19703756272792816,0.006914371624588966,-1.0,0.0,0.0,-0.39709189534187317,0.39709189534187317,-0.0,-0.0
-0.20000000298023224,-0.19694197177886963,0.01419287733733654,-1.0,0.0,0.0,-0.3935953378677368,0.3935953378677368,-0.0,-0.0
-0.20000000298023224,-0.19586776196956635,0.00167078897356987,-1.0,-0.0,0.0,-0.3992980122566223,0.3992980122566223,0.0,-0.0
-0.20000000298023224,-0.1955191045999527,0.013761363923549652,-1.0,0.0,0.0,-0.39593276381492615,0.39593276381492615,-0.0,-0.0
-0.20000000298023224,-0.19528354704380035,0.006655968260020018,-1.0,0.0,0.0,-0.3982972502708435,0.3982972502708435,-0.0,-0.0
-0.20000000298023224,-0.1943657547235489,0.02093767747282982,-1.0,0.0,0.0,-0.3938979506492615,0.3938979506492615,-0.0,-0.0
-0.20000000298023224,-0.19384145736694336,0.013253223150968552,-1.0,0.0,0.0,-0.3975863754749298,0.3975863754749298,-0.0,-0.0
-0.20000000298023224,-0.1936030089855194,0.0015960820019245148,-1.0,-0.0,0.0,-0.3993728458881378,0.3993728458881378,0.0,-0.0
-0.20000000298023224,-0.19303110241889954,0.020304543897509575,-1.0,0.0,-0.0,-0.3961791396141052,0.3961791396141052,-0.0,0.0
-0.20000000298023224,-0.19271664321422577,0.005834884010255337,-1.0,0.0,0.0,-0.39902985095977783,0.39902985095977783,-0.0,-0.0
-0.20000000298023224,-0.19145837426185608,0.019558191299438477,-1.0,0.0,-0.0,-0.39778652787208557,0.39778652787208557,-0.0,0.0
-0.20000000298023224,-0.19119814038276672,0.0121943149715662,-1.0,0.0,0.0,-0.3989941477775574,0.3989941477775574,-0.0,-0.0
-0.20000000298023224,-0.19086091220378876,0.027135323733091354,-1.0,0.0,0.0,-0.39471861720085144,0.39471861720085144,-0.0,-0.0
-0.20000000298023224,-0.18995054066181183,0.001943314215168357,-1.0,-0.0,-0.0,-0.39997804164886475,0.39997804164886475,0.0,0.0
-0.20000000298023224,-0.1896165907382965,0.026303375139832497,-1.0,0.0,0.0,-0.3965966999530792,0.3965966999530792,-0.0,-0.0
-0.20000000298023224,-0.1889006644487381,0.018234146758913994,-1.0,-0.0,0.0,-0.39872390031814575,0.39872390031814575,0.0,-0.0
-0.20000000298023224,-0.1881517618894577,0.0253215953707695,-1.0,0.0,0.0,-0.39794519543647766,0.39794519543647766,-0.0,-0.0
-0.20000000298023224,-0.18799424171447754,0.006550310179591179,-1.0,0.0,-0.0,-0.3998030126094818,0.3998030126094818,-0.0,0.0
-0.20000000298023224,-0.18638257682323456,0.03284553065896034,-1.0,0.0,0.0,-0.39498916268348694,0.39498916268348694,-0.0,-0.0
-0.20000000298023224,-0.18573787808418274,0.023784872144460678,-1.0,0.0,0.0,-0.39895015954971313,0.39895015954971313,-0.0,-0.0
-0.20000000298023224,-0.18572072684764862,0.012795447371900082,-1.0,0.0,-0.0,-0.39995241165161133,0.39995241165161133,-0.0,0.0
-0.20000000298023224,-0.18525192141532898,0.031821075826883316,-1.0,0.0,-0.0,-0.39675551652908325,0.39675551652908325,-0.0,0.0
-0.20000000298023224,-0.18392224609851837,0.030612291768193245,-1.0,0.0,-0.0,-0.39802366495132446,0.39802366495132446,-0.0,0.0
-0.20000000298023224,-0.18380549550056458,0.00181015080306679,-1.0,-0.0,-0.0,-0.40004146099090576,0.40004146099090576,0.0,0.0
-0.20000000298023224,-0.1832013726234436,0.01858857460319996,-1.0,0.0,-0.0,-0.39991748332977295,0.39991748332977295,-0.0,0.0
-0.20000000298023224,-0.1816529929637909,0.028884772211313248,-1.0,-0.0,0.0,-0.3989177346229553,0.3989177346229553,0.0,-0.0
-0.20000000298023224,-0.1810232400894165,0.037940528243780136,-1.0,0.0,0.0,-0.39502397179603577,0.39502397179603577,-0.0,-0.0
-0.20000000298023224,-0.1808721274137497,0.006434400100260973,-1.0,0.0,-0.0,-0.3999529182910919,0.3999529182910919,-0.0,0.0
